"id,date,sales,region,store_location"
"21,2024-04-01,1600,North,Store A"
"22,2024-04-02,1800,South,Store B"
"23,2024-04-03,2100,East,Store C"
"24,2024-04-04,2300,West,Store A"
"25,2024-04-05,2600,North,Store B"
"26,2024-04-06,2400,South,Store C"
"27,2024-04-07,2700,East,Store A"
"28,2024-04-08,2900,West,Store B"
"29,2024-04-09,3100,North,Store C"
"30,2024-04-10,3300,South,Store A"
"31,2024-04-11,3500,East,Store B"
"32,2024-04-12,3700,West,Store C"
"33,2024-04-13,3900,North,Store A"
"34,2024-04-14,4100,South,Store B"
"35,2024-04-15,4300,East,Store C"
"36,2024-04-16,4500,West,Store A"
"37,2024-04-17,4700,North,Store B"
"38,2024-04-18,4900,South,Store C"
"39,2024-04-19,5100,East,Store A"
"40,2024-04-20,5300,West,Store B"
